ID,Date,Location Name,Tweet,Quoted Tweet Text,Tweet Sentiment Score,Tweet Sentiment Magnitude,Location
1.26E+18,5/14/2020,"Madrid, España","Carlos Alsina hunde al mentiroso y manipulador de Simancas, a cuentas de la región con más letalidad por el coronavirus https://t.co/81RZ0wwRE4 vía @ElDiestro_",,-0.100000001,0.100000001,"40.4167047,-3.7035825"
1.26E+18,5/14/2020,México,"#EnVivo #ConferenciaDePrensa ""Informe diario sobre coronavirus COVID19 en México"". 📺 14.1 📱#Mxplay ⏯ https://t.co/bsqdFQlhY0 💻 https://t.co/Ab5uAi6PUb https://t.co/DFsZe4G6FI",,0.200000003,0.400000006,"22.5000485,-100.0000375"
1.26E+18,5/14/2020,Rionegro Antioquia,"Presentamos carta, con una petición respetuosa, al Ministro @jrestrp del @MincomercioCo para apoyar a la MIPYMES en el registro de marca durante la pandemia.
@CamaraColombia @CeDemocratico https://t.co/2fcrM0P8w6",,0.200000003,0.5,"6.1536166,-75.3741691"
1.26E+18,5/14/2020,México,"¿Y que opina de este artículo de ⁦@washingtonpost⁩ sobre la transmisión del #SARS_CoV_2 en los felinos ⁦@doctormacias⁩?
El misterio de un tigre que contrajo COVID-19 tiene a los expertos perplejos - ⁦@washingtonpost⁩  https://t.co/ckC5NmQIJW",,0.100000001,0.300000012,"22.5000485,-100.0000375"
1.26E+18,5/14/2020,"Santa Rosa De Lima, El Salvado","La Asamblea Legislativa superó hoy el veto presidencial al decreto 630 que contiene la Ley Especial de Reconocimiento a Profesionales y Trabajadores de la Salud ante la Pandemia Covid-19, la cual contiene varios… https://t.co/MJ8Rgw94wT",,0.200000003,0.5,"13.6259196,-87.8911322"
1.26E+18,5/14/2020,Montevideo Uruguay,"Con el uso del tapaboca extendido y una marcada distancia física, centenares de personas criticaron el proyecto en la primera concentración en días de coronavirus.   Montevideo Portal !!! increíble!!!!  una máquina de tergiversar la realidad, como siempre",,0.5,2.099999905,"-34.8927002,-56.178654"
1.26E+18,5/14/2020,"Viña del Mar, Chile","Lo mas terrible de esta pandemia Después del virus, es escuchar a estas lacras del gobierno creyendo q todos somos imbeciles no contando a los que votaron por ellos si .una
Impotencia tan grande de no poder hacer nada mas q escribir comentarios de protesta contra estos nefastos.",,-0.600000024,0.600000024,"-33.0244535,-71.5517636"
1.26E+18,5/14/2020,"Puente Alto, Santiago, Chile",Existe alguna página dónde uno ingrese el rut y automáticamente le diga que bono o beneficio sobre el COVID se le fue otorgado?,,0.100000001,0.100000001,"-33.6095279,-70.5754736"
1.26E+18,5/14/2020,Peronia,"Ranking trolos Covid-19:
1- René
2- Yo",,0.300000012,0.300000012,"38.0439146,-4.3152003"
1.26E+18,5/14/2020,"Santiago, Chile","Minsal reporta 22 fallecidos por coronavirus en las últimas 24 horas: la mayor cifra diaria desde el inicio de la pandemia https://t.co/35eCevbear ahora la Tasa de Mortandad, es de un 0,99%.",,0.200000003,0.200000003,"-33.4377968,-70.6504451"
1.26E+18,5/14/2020,veracruz mexico,INE aprobó dar Constancias Digitales como credencial ante Covid-19 https://t.co/CtTXIfRuDi,,0.200000003,0.200000003,"19.333333,-96.666667"
