"ID","Date","Location","Tweet","Quoted Tweet Text",,,
"1222669095054848011","2020-01-29 23:53:23","USA","The number of confirmed cases has increased to 6 in Australia. The virus was also seen in the United Arab Emirates.
Spreading .. Corona virus appeared in 19 countries.
Updated:
The number of cases has exceeded 6000.
1000 people clear
1222669055523295232,2020-01-29 23:53:13,Taiwan,""The CHINA gov't needs to explain why all these new viruses are starting in China? Right now China is #3 in global pharmaceutical manufacturing. A US General noted, ""They could start a pandemic, and then refuse to ship us the antibiotics."" Another result of GREED by elitist CEOS!",,,,
"1222669020073086976","2020-01-29 23:53:05","日本 ","18 Tips To Prepare For A Possible Pandemic https://t.co/3Poqmwq2qG",,,,
"1222669001966280704","2020-01-29 23:53:00","La Jolla, San Diego","How a Viral Pandemic Benefits The Globalist Agenda https://t.co/d9gYkQ1G8f via @activistpost",,,,
"1222668977756725249","2020-01-29 23:52:55","Coachella, CA","“Corona virus not as bad as they’re saying, only 2% of the 6,000 infected dying from it” 
eeeyyyyy ayi les encargo culeros",,,,
"1222668977417195520","2020-01-29 23:52:54","London, UK","@oliver_marson Is that where you get a bottle of Corona stuck up there?",,,,
"1222668860559626240","2020-01-29 23:52:27","Country of Texas","@corona hey is it safe to drink your beer again?  I don’t really want the virus.  What about the infused beers, they good right?",,,,
"1222668844512219137","2020-01-29 23:52:23","New Jersey, USA","@ManagerCubic corona virus",,,,
"1222668807627530240","2020-01-29 23:52:14","Oceanside, NY","@realDonaldTrump Trump’s pandemic delivery system https://t.co/99T6BJIBwP",,,,
"1222668750283071488","2020-01-29 23:52:00","San Lorenzo, Argentina","It's corona time",,,,
"1222668745317003267","2020-01-29 23:51:59","Oceanside, NY","@realDonaldTrump Trump’s pandemic delivery system https://t.co/99T6BJIBwP",,,,
"1222668683736178689","2020-01-29 23:51:44","USA","Japan confirmed that an individual who has not been to China-Wuhan has a corona virus. Many countries have begun work to avoid accepting tourists from China. China warns not to travel abroad #CoronaVirus #CoronaViruesue #virus #Wuhan",,,,
"1222668673992683521","2020-01-29 23:51:42","California, USA","@BasicallyIDoWrk Just drink Corona to cancel out the Corona virus if you have it.",,,,
"1222668616954449920","2020-01-29 23:51:29","Asheville, NC","I volunteer myself to catch corona virus so that hopefully a vaccine can be cultured from me if i survive or am immune to it, my blood type is o-. I dont know how this works but there ya go.",,,,
"1222668496917749761","2020-01-29 23:51:00","London, England","These corona bottle jokes are getting very very old #coronaravirus",,,,
"1222668482614943745","2020-01-29 23:50:56","Canada","@Crypto_Bitlord Already more corona cases in China now than there were SARS cases",,,,
"1222668363278815232","2020-01-29 23:50:28","Oceanside, NY","Trump Signs Bill to Further Destroy Critical Infrastructure, Including Pandemic Delivery System &amp; Cybersecurity: https://t.co/99T6BJIBwP",,,,
"1222668361496236037","2020-01-29 23:50:28","Miami, FL","#TIL Masoud Roshan Pazhouh dedicated 50% of his Tounrment of Neighborhood fortune to help the victims of Corona virus personally. https://t.co/kKVYUYXTYx",,,,
"1222668341212524545","2020-01-29 23:50:23","London","Diversification drive cuts US reinsurers' pandemic risk
https://t.co/dLt1Vyd3bl",,,,
"1222668264603410432","2020-01-29 23:50:05","Corona/Norco Area","Current Air Quality for Norco/Corona, CA: At 3 PM PST Particle Pollution [10 microns] reached Unhealthy for Sensitive Groups",,,,
