"ID","Date","Location","Tweet","Quoted Tweet Text",,
"1221945405702909953","2020-01-27 23:57:42","Puebla, México","#Enterate Un joven mexicano que reside en #Wahun la ciudad donde se originó el #coronavirus 😷, pide regresar a su país 
https://t.co/CqCT3aRlvs",,,
"1221945405027627008","2020-01-27 23:57:41","España-Madrid","En España ya tenemos suficiente con que se nos muera gente por la gripe como para que venga el coronavirus ese",,,
"1221945392994168834","2020-01-27 23:57:38","Barquisimeto-Venezuela","Primer caso confirmado de #Coronavirus en #Alemania (oficial)
1221945338698878977,2020-01-27 23:57:26,""Lima, Peru","Justo los 4 casos de coronavirus están siendo tratados en el hospital de la cuadra donde trabajo 
Todo bien en esta vida https://t.co/Xm4OXghlWc",,
"1221945336891133953","2020-01-27 23:57:25","Guadalajara, Jalisco","#SeñalInternacional 
🦠🇩🇪 Primer caso confirmado de coronavirus en #Alemania. https://t.co/SZGItofW7h",,,
"1221945336127803392","2020-01-27 23:57:25","Dubái, Emiratos Árabes Unidos","El Coronavirus en  Argentina.
👁 Están abriendo camino
Espero no llegue al Ecuador 🇪🇨 ...
🤣🤣🤣 https://t.co/uF7SXOO3Xr",,,
"1221945333317431296","2020-01-27 23:57:24","México","El equipo de @ConsulMexSha expresa su respeto y aprecio a los médicos y enfermeras que se encuentran en #Wuhan y en todo #China luchando Vs el #coronavirus y salvando vidas. Gracias 🙏 https://t.co/zQzoGLPqeJ","En pleno brote de coronavirus, un vídeo en el que se ve a una enfermera de Wuhan llorar a voz en grito ha sacudido las redes sociales en China: “Si descansamos nos tratan como traidores, solo la muerte nos espera aquí” https://t.co/fHB7KRb2JD",,
"1221945330532585472","2020-01-27 23:57:24","Bogotá - Colombia","Jajajajaja ese #coronavirus es un loquillo. https://t.co/vnK6nVEcc0",,,
"1221945324807299074","2020-01-27 23:57:22","El Salvador","#ÚltimaHora |
Primer caso confirmado de coronavirus en Alemania. https://t.co/DAn3ml2JgA",,,
"1221945296843935751","2020-01-27 23:57:16","Elche, España","*coronavirus en Torrevieja
[28/1 0:49] ivan't: En plan ha sido un placer conoceros
[28/1 0:51] Tabita: No vuelvas al pueblo gracias
[28/1 0:51] Tabita: Tengo una carrera que sacarme",,,
"1221945268251303936","2020-01-27 23:57:09","Saltillo, Coahuila, México","INTERNACIONAL | Países planean evacuar a ciudadanos en #China por #coronavirus https://t.co/Q1G8v6ss52 https://t.co/ECEHX1A7FF",,,
"1221945257895636994","2020-01-27 23:57:06","Zulia, Venezuela","China comienza semana contra el coronavirus. Lea más ⏩ https://t.co/rAUqjJ2CEb 
@PDVSA 
@teleSURtv 
@RNVinformativa 
@VTVcanal8 
@ConElMazoDando 
https://t.co/GkMBpNm2B6",,,
"1221945252031926273","2020-01-27 23:57:05","Santo Domingo - Dominicano","Presidente Medina se reúne con autoridades de salud para tratar situación del coronavirus https://t.co/BYQR02PhMR https://t.co/aK6U0AW5AV",,,
"1221945244805214209","2020-01-27 23:57:03","Guadalajara, Jalisco","#SeñalInternacional 
🦠🇩🇪 Primer caso confirmado de coronavirus en #Alemania. https://t.co/thGu13P864",,,
"1221945243861282816","2020-01-27 23:57:03","La Paz, Bolivia","Realizarán simulacros de atención de casos de coronavirus en aeropuertos de Santa Cruz y La Paz: El Ministerio de Salud realizará simulacros de atención de casos de coronavirus en los aeropuertos de Santa Cruz y La Paz, para… https://t.co/imTPXKGMGu #Bolivia #FmBolivia #Ultimo",,,
"1221945236869353472","2020-01-27 23:57:01","Xalapa, Veracruz de Ignacio de la Llave","Tsssss... De repente tu bicho es de los más mortíferos que han existido... Lo rojo es la población infectada mientras que los puntos negros que comienzan a aparecer y a aumentar representan a la población que va muriendo...
1221945230389383168,2020-01-27 23:57:00,México,Descartan casos de personas mexicanas en China enfermas de coronavirus; solo dos mexicanos han manifestado su interés de salir del país https://t.co/iKulVYRtSi,
1221945225972715525,2020-01-27 23:56:59,""Lima, Peru","@MartinVizcarraC  ¿Qué espera para impedir el paso de los chinos a Perú? ¿A caso no piensa proteger al Perú del coronavirus?",,
"1221945219983331328","2020-01-27 23:56:57","Cali, Colombia","Investigan posible caso de coronavirus en #Cali, Colombia; es un paciente que llegó de Wuhan, China https://t.co/aPTaw9kx1V",,,
"1221945217391251458","2020-01-27 23:56:57","La Plata, Argentina","@nachocope88 No están investigando porque se.llama coronavirus y no coronEvirus",,,
"1221945213222096896","2020-01-27 23:56:56","Rep. Dom.","Presidente Medina se reúne con autoridades de salud para tratar situación del coronavirus https://t.co/a3KsSKtKD5 https://t.co/DMY8XMc7QL",,,
"1221945205932351494","2020-01-27 23:56:54","San Salvador","@MarceloLarin1 Me gustaría que hablaras de lo que está detrás del coronavirus. Me parece que es una distracción para algo grande.",,,
"1221945204455956480","2020-01-27 23:56:54","Panama","En China como reacción a la situación del #CoronaVirus van a construir un hospital prefabricado para 1000 pacientes en 15 días, en Panamá la licitación del nuevo Hospital del Niño está ESTANCADA por falta de un ""traductor autorizado"".",,,
"1221945190690250752","2020-01-27 23:56:50","Caracas, Distrito Capital","¡DEBE SABERLO! Perú alerta de 4 casos sospechosos con posible contagio de coronavirus #Venezuela  https://t.co/zH854DxvW4",,,
"1221945174642909186","2020-01-27 23:56:46","Guayaquil, Ecuador","Ojalá el Coronavirus llegue a la asamblea",,,
"1221945172201820160","2020-01-27 23:56:46","Lima, Peru","Ver las noticias es peor que ver una película de terror carajo entre los congresistas de frepap y el coronavirus quien va a salvarnos",,,
"1221945160608690178","2020-01-27 23:56:43","Argentina","@Juanfsm2 @la1eradeldiablo @laderechadiario No, el Coronavirus no tiene potencial pandemico.",,,
"1221945154887700484","2020-01-27 23:56:42","España","¡El Transversal está disponible! https://t.co/KWwRoqAcks #coronavirus #goya2020",,,
"1221945148315226113","2020-01-27 23:56:40","Lima, Perú","Para esos cojudos que dan bienvenida o toman en broma al coronavirus, ya los quiero ver cuando alguien de su entorno lo contraiga.",,,
"1221945123338100736","2020-01-27 23:56:34","México","https://t.co/RkN4BbI9Kh: Coronavirus. OMS corrige de ""moderado"" a ""alto"" el riesgo internacional | El Universal - El Universal https://t.co/WzROqfJtXA",,,
"1221945104761524224","2020-01-27 23:56:30","Miami, FL Estados Unidos","Muchos pensaron que moriamos todos por la tercera guerra mundial entre eeuu e iran, y capaz moriremos por el coronavirus y el dengue",,,
"1221945063338577922","2020-01-27 23:56:20","Chaco, Argentina","Efecto coronavirus: qué paja tengo!",,,
"1221945056040386561","2020-01-27 23:56:18","Peru","@madebu03 En Perú tenemos a burócratas del Minsa que minimizan este riesgo . Realmente esperemos que no haya llegado el Coronavirus pues Perú no tiene la logística ni la cultura preventiva , aún es una república bananera, aunque duela decirlo...",,,
"1221945046217515010","2020-01-27 23:56:16","Guayaquil, Ecuador","El chino ese si tiene coronavirus. Tooodas las entidades públicas ya lo saben, no se que esperan para hacerlo público.",,,
"1221945042052489216","2020-01-27 23:56:15","Arroyo, Puerto Rico,USA","@arnaldoclaudio Si usted lo dice personalmente en este momento le doy mi voto de confianza como ciudadano, por otro lado, sabe algo de las gestiones que se estén realizando, si alguna, sobre el coronavirus, aquí en la isla? Gracias, muchas bendiciones",,,
"1221945026168553472","2020-01-27 23:56:11","Veracruz, Veracruz de Ignacio de la Llave","México, sin el nuevo coronavirus hasta el momento
https://t.co/onprKbOhHx
1221945024256061440,2020-01-27 23:56:11,""Valle De La Pascua, Venezuela","El Dow Jones pierde más de 450 puntos en el contexto de la propagación del coronavirus - RT https://t.co/zQLPW4Ys5K",,
"1221945011484479495","2020-01-27 23:56:08","Alacant, Espanya","Así es el mapa en tiempo real de la propagación del Coronavirus https://t.co/4NkQq5zIA7 #Coronavirus",,,
"1221945008988872705","2020-01-27 23:56:07","Armenia, Colombia","@GustavoBolivar Vean encuentran cepa del Coronavirus...la peor enfermedad contagiosa, una infección... https://t.co/q6UnOEunch",,,
"1221945008691056641","2020-01-27 23:56:07","Marcos Juárez, Argentina","@alejolucangeli Son países que no la están pasando bien. Países como Alemania no la están pasando bien en términos de coronavirus",,,
"1221945007663435777","2020-01-27 23:56:07","New York, USA","Vi un video muy feo de alguien en China temblando de #CoronaVirus
porque venía durmiendo re bien ultimamente...",,,
"1221944991360176129","2020-01-27 23:56:03","Santa Rosa De Lima, El Salvado","EVACUAN A TRES SALVADOREÑOS DE WUHAN POR CORONAVIRUS.
Jóvenes salvadoreños fueron sacados de la ciudad china de Wuhan, el epicentro del brote del “Coronavirus” que ha dejado 80 muertos y miles de contagiados.
Los… https://t.co/4i4OVbsq97",,,
"1221944986205413377","2020-01-27 23:56:02","Madrid, España","WHO está contestando dudas en tiempo real respecto el coronavirus. #coronavirus #WHO 
https://t.co/Qhwyc5tjdO https://t.co/9bBQPvvZ52",,,
"1221944958803959808","2020-01-27 23:55:55","Aguascalientes, Ags. MX","Sri Lanka reporta su primer caso de coronavirus https://t.co/Uc8ACOYwgA #Mundo",,,
"1221944948804804613","2020-01-27 23:55:53","Los Angeles, CA","Me tiene nervioso la expansión tan rápida del coronavirus.",,,
"1221944946284027906","2020-01-27 23:55:52","#Panamá","Conozca cómo surgieron los #coronavirus y de qué forma pueden propagarse entre la población. #TReporta https://t.co/wUWXP0DGVa",,,
"1221944927883595776","2020-01-27 23:55:48","Washington, DC","Inteligencia Rusa investiga el coronavirus como arma biologica de estados unidos (por mi seguridad debo decir que me lo acabo de inventar) pronto ampliamos.",,,
"1221944889002414080","2020-01-27 23:55:38","MANAGUA, NICARAGUA","Confirman el primer caso del coronavirus en Alemania - RT https://t.co/CfJaJyQL3W",,,
"1221944884728401920","2020-01-27 23:55:37","Lima","#coronavirus QUEEN OF POP, WE STAN FOREVER, ven y mátame de una vez.",,,
"1221944873420513281","2020-01-27 23:55:35","Panama","Mi doctora preocupada por eso del coronavirus porque viajare y yo estoy de lo mas normal😅🥺",,,
"1221944871415623680","2020-01-27 23:55:34","Guadalajara, Jalisco","⚡⚡ MEXICANOS EN CHINA: Mexicanos que radican en china piden apoyo a las autoridades para salir de ese país considerado epicentro del coronavirus.
⚡⚡ ESPACIOS SEGUROS: Presenta la @SEP_mx un proyecto para establecer entornos seguros en las escuelas de educación básica. https://t.co/RcpHLhklYw",,,
"1221944865682051073","2020-01-27 23:55:33","Venezuela","#ALERTA #Coronavirus Se confirma el primer caso positivo del virus en Alemania. Ecuador y Perú están en espera de resultados de exámenes de casos sospechosos.",,,
